;ADR;AVG_PRICE;STANDARD_DEVIATION;COEF_OF_VARIATION;AVG_PRICE_>_0;year_house;house_info
2173;"
 ул. Академика Анохина, 38к1
 ";199343.925;27921.520994913135;0.14006707751396555;True;Дом 1982 года;16 этажейПанельное зданиеЦентральное отопление2,64 м потолки127 квартирГаза нетЛифтМусоропровод
2174;"
 Новодмитровская ул., 2к7
 ";275655.85;40941.65392699103;0.14852452406502903;True;Дом 2018 года;47 этажейМонолитное здание419 квартирГаза нетЛифтМусоропровод
2175;"
 ул. Коминтерна, 22к1
 ";164751.75;21322.01955513882;0.1294190778255091;True;Дом 1971 года;14 этажейБлочное зданиеЦентральное отопление2,64 м потолки98 квартирГазЛифтМусоропровод
2176;"
 Производственная ул., 10к1
 ";195364.775;19876.601637965556;0.10174096961934696;True;Дом 2019 года;19 этажейМонолитное здание2,80 м потолкиЛифтМусоропровод
2177;"
 Ленинский пр-т, 129к1
 ";195583.275;24161.236065221805;0.12353426470244865;True;Дом 1976 года;16 этажейПанельное зданиеЦентральное отопление2,64 м потолки763 квартирыГаза нетЛифтМусоропровод
2178;"
 ул. Вавилова, 10
 ";203634.72727272726;52332.88430213039;0.2569939076847199;True;Дом 1960 года;5 этажейПанельное здание2,48 м потолки60 квартирГазЛифтМусоропровода нет
2179;"
 Краснобогатырская ул., 11
 ";192296.175;22778.887850252366;0.11845731122968185;True;Дом 2006 года;18 этажейПанельное здание2,80 м потолки323 квартирыГазЛифтМусоропровод
2180;"
 Нагатинская наб., 18
 ";173049.75;33851.89270539389;0.1956194256587709;True;Дом 1968 года;9 этажейПанельное зданиеЦентральное отопление2,64 м потолки215 квартирГазЛифтМусоропровод
2181;"
 3-й Митинский пер., 2
 ";164447.125;17358.001902850887;0.10555369638022487;True;Дом 1993 года;22 этажаПанельное зданиеЦентральное отопление2,64 м потолки152 квартирыГаза нетЛифтМусоропровод
2182;"
 Щёлковский пр., 11к1
 ";143508.9;17676.4365212562;0.12317310300097208;True;Дом 1959 года;Дом входит в программу сноса пятиэтажек в Москве, подробнее.5 этажейПанельное зданиеЦентральное отопление2,48 м потолки80 квартирЛифт отсутствуетМусоропровода нет
2183;"
 Ленинский пр-т, 156
 ";202394.825;29974.332248515144;0.14809831352414837;True;Дом 1977 года;16 этажейПанельное зданиеЦентральное отопление2,64 м потолки586 квартирГаза нетЛифтМусоропровод
2184;"
 ул. Верхние Поля, 45к4
 ";163488.075;15193.526069328838;0.0929335431304628;True;Дом 2003 года;14 этажейПанельное здание2,74 м потолки264 квартирыГаза нетЛифтМусоропровод
2185;"
 пр-т Защитников Москвы, 1
 ";150558.55;16217.730997198716;0.10771710405818014;True;Дом 2012 года;17 этажейПанельное здание3,00 м потолки306 квартирГаза нетЛифтМусоропровод
2186;"
 Рождественская ул., 33
 ";152670.85;19756.90008522339;0.12940846327392158;True;Дом;Панельное зданиеЦентральное отопление2,70 м потолки768 квартирГаза нетЛифтМусоропровод
2187;"
 ул. Кравченко
 ";0.0;0.0;0.0;False;"
 ул. Кравченко
 ";"
 ул. Кравченко
 "
2188;"
 Даниловская наб., 2к2
 ";186408.325;26226.16150181675;0.14069200772989485;True;Дом 1961 года;9 этажейКирпичное здание98 квартирГазЛифтМусоропровод
2189;"
 Рязанский пр-т, 85к2
 ";176224.625;33549.93710104946;0.19038166261411796;True;Дом 1967 года;12 этажейПанельное здание2,64 м потолки96 квартирГазЛифтМусоропровод
